"miR" "lung.cancer"
"394" "hsa-mir-543" "1"
"395" "hsa-mir-545" "1"
"396" "hsa-mir-548ag" "1"
"397" "hsa-mir-548au" "1"
"398" "hsa-mir-548aw" "1"
"399" "hsa-mir-548b" "1"
"400" "hsa-mir-548d" "1"
"401" "hsa-mir-548e" "1"
"402" "hsa-mir-548f" "1"
"403" "hsa-mir-548k" "1"
"404" "hsa-mir-548o" "1"
"405" "hsa-mir-548v" "1"
"406" "hsa-mir-549" "1"
"407" "hsa-mir-550a" "1"
"408" "hsa-mir-551a" "1"
"409" "hsa-mir-551b" "1"
"410" "hsa-mir-556" "1"
"411" "hsa-mir-5586" "1"
"412" "hsa-mir-561" "1"
"413" "hsa-mir-5683" "1"
"414" "hsa-mir-5684" "1"
"415" "hsa-mir-5687" "1"
"416" "hsa-mir-5696" "1"
"417" "hsa-mir-5698" "1"
"418" "hsa-mir-5699" "1"
"419" "hsa-mir-570" "1"
"420" "hsa-mir-574" "1"
"421" "hsa-mir-576" "1"
"422" "hsa-mir-577" "1"
"423" "hsa-mir-579" "1"
"424" "hsa-mir-580" "1"
"425" "hsa-mir-581" "1"
"426" "hsa-mir-582" "1"
"427" "hsa-mir-584" "1"
"428" "hsa-mir-585" "1"
"429" "hsa-mir-589" "1"
"430" "hsa-mir-590" "1"
"431" "hsa-mir-592" "1"
"432" "hsa-mir-598" "1"
"433" "hsa-mir-605" "1"
"434" "hsa-mir-607" "1"
"435" "hsa-mir-616" "1"
"436" "hsa-mir-618" "1"
"437" "hsa-mir-624" "1"
"438" "hsa-mir-625" "1"
"439" "hsa-mir-627" "1"
"440" "hsa-mir-628" "1"
"441" "hsa-mir-629" "1"
"442" "hsa-mir-632" "1"
"443" "hsa-mir-639" "1"
"444" "hsa-mir-641" "1"
"445" "hsa-mir-642a" "1"
"446" "hsa-mir-643" "1"
"447" "hsa-mir-644b" "1"
"448" "hsa-mir-651" "1"
"449" "hsa-mir-652" "1"
"450" "hsa-mir-653" "1"
"451" "hsa-mir-654" "1"
"452" "hsa-mir-655" "1"
"453" "hsa-mir-656" "1"
"454" "hsa-mir-658" "1"
"455" "hsa-mir-659" "1"
"456" "hsa-mir-660" "1"
"457" "hsa-mir-663a" "1"
"458" "hsa-mir-664" "1"
"459" "hsa-mir-665" "1"
"460" "hsa-mir-668" "1"
"461" "hsa-mir-671" "1"
"462" "hsa-mir-675" "1"
"463" "hsa-mir-676" "1"
"464" "hsa-mir-7" "1"
"465" "hsa-mir-708" "1"
"466" "hsa-mir-744" "1"
"467" "hsa-mir-758" "1"
"468" "hsa-mir-760" "1"
"469" "hsa-mir-766" "1"
"470" "hsa-mir-767" "1"
"471" "hsa-mir-769" "1"
"472" "hsa-mir-770" "1"
"473" "hsa-mir-873" "1"
"474" "hsa-mir-874" "1"
"475" "hsa-mir-877" "1"
"476" "hsa-mir-885" "1"
"477" "hsa-mir-887" "1"
"478" "hsa-mir-889" "1"
"479" "hsa-mir-891a" "1"
"480" "hsa-mir-9" "1"
"481" "hsa-mir-92a" "1"
"482" "hsa-mir-92b" "1"
"483" "hsa-mir-93" "1"
"484" "hsa-mir-934" "1"
"485" "hsa-mir-935" "1"
"486" "hsa-mir-937" "1"
"487" "hsa-mir-939" "1"
"488" "hsa-mir-940" "1"
"489" "hsa-mir-942" "1"
"490" "hsa-mir-944" "1"
"491" "hsa-mir-95" "1"
"492" "hsa-mir-96" "1"
"493" "hsa-mir-98" "1"
"494" "hsa-mir-99a" "1"
"495" "hsa-mir-99b" "1"
