"miR" "testes" "sample_num"
"309" "hsa-miR-200c*" 0 57
"310" "hsa-miR-202" 0 57
"311" "hsa-miR-202*" 0 57
"312" "hsa-miR-203" 0 57
"313" "hsa-miR-204" 1 57
"314" "hsa-miR-205" 1 57
"315" "hsa-miR-205*" 1 57
"316" "hsa-miR-2052" 0 57
"317" "hsa-miR-2053" 0 57
"318" "hsa-miR-2054" 0 57
"319" "hsa-miR-206" 1 57
"320" "hsa-miR-208a" 0 57
"321" "hsa-miR-208b" 0 57
"322" "hsa-miR-20a" 0 57
"323" "hsa-miR-20a*" 0 57
"324" "hsa-miR-20b" 0 57
"325" "hsa-miR-20b*" 0 57
"326" "hsa-miR-21" 0 57
"327" "hsa-miR-21*" 1 57
"328" "hsa-miR-210" 0 57
"329" "hsa-miR-211" 0 57
"330" "hsa-miR-2110" 0 57
"331" "hsa-miR-2113" 0 57
"332" "hsa-miR-2114" 1 57
"333" "hsa-miR-2114*" 0 57
"334" "hsa-miR-2115" 0 57
"335" "hsa-miR-2115*" 0 57
"336" "hsa-miR-2116" 0 57
"337" "hsa-miR-2116*" 0 57
"338" "hsa-miR-2117" 0 57
"339" "hsa-miR-212" 1 57
"340" "hsa-miR-214" 0 57
"341" "hsa-miR-214*" 0 57
"342" "hsa-miR-215" 0 57
"343" "hsa-miR-216a" 0 57
"344" "hsa-miR-216b" 0 57
"345" "hsa-miR-217" 0 57
"346" "hsa-miR-218" 0 57
"347" "hsa-miR-218-1*" 0 57
"348" "hsa-miR-218-2*" 0 57
"349" "hsa-miR-219-1-3p" 0 57
"350" "hsa-miR-219-2-3p" 0 57
"351" "hsa-miR-219-5p" 0 57
"352" "hsa-miR-22" 1 57
"353" "hsa-miR-22*" 0 57
"354" "hsa-miR-221" 1 57
"355" "hsa-miR-221*" 0 57
"356" "hsa-miR-222" 1 57
"357" "hsa-miR-222*" 0 57
"358" "hsa-miR-223" 0 57
"359" "hsa-miR-223*" 1 57
"360" "hsa-miR-224" 0 57
"361" "hsa-miR-224*" 0 57
"362" "hsa-miR-2276" 0 57
"363" "hsa-miR-2277-3p" 0 57
"364" "hsa-miR-2277-5p" 0 57
"365" "hsa-miR-2278" 0 57
"366" "hsa-miR-2355-3p" 0 57
"367" "hsa-miR-2355-5p" 0 57
