"miR" "Alzheimer.s.disease" "sample_num"
"504" "hsa-miR-143-5p" 6 6
"505" "hsa-miR-2277-3p" 6 6
"506" "hsa-miR-550a-5p" 6 6
"507" "hsa-miR-1270" 6 6
"508" "hsa-miR-4999-5p" 6 6
"509" "hsa-miR-541-5p" 6 6
"510" "hsa-miR-2114-5p" 6 6
"511" "hsa-miR-2681-3p" 6 6
"512" "hsa-miR-449c-5p" 4 6
"513" "hsa-miR-664b-3p" 6 6
"514" "hsa-miR-320c" 6 6
"515" "hsa-miR-1228-3p" 6 6
"516" "hsa-miR-362-3p" 6 6
"517" "hsa-miR-585" 5 6
"518" "hsa-miR-448" 6 6
"519" "hsa-miR-105-3p" 6 6
"520" "hsa-miR-4326" 5 6
"521" "hsa-miR-4742-3p" 5 6
"522" "hsa-miR-190b" 6 6
"523" "hsa-miR-590-5p" 6 6
"524" "hsa-miR-223-5p" 5 6
"525" "hsa-miR-3180-5p" 6 6
"526" "hsa-miR-205-5p" 5 6
"527" "hsa-miR-502-5p" 6 6
"528" "hsa-miR-1277-3p" 6 6
"529" "hsa-miR-489" 6 6
"530" "hsa-miR-1277-5p" 6 6
"531" "hsa-miR-541-3p" 6 6
"532" "hsa-miR-5100" 6 6
"533" "hsa-miR-522-3p" 6 6
"534" "hsa-miR-500b" 6 6
"535" "hsa-miR-218-2-3p" 6 6
"536" "hsa-miR-508-3p" 6 6
"537" "hsa-miR-1291" 6 6
"538" "hsa-miR-3938" 6 6
"539" "hsa-miR-3607-5p" 5 6
"540" "hsa-miR-4767" 6 6
"541" "hsa-miR-6511a-5p" 6 6
"542" "hsa-miR-147b" 6 6
"543" "hsa-miR-5699" 6 6
"544" "hsa-miR-493-3p" 6 6
"545" "hsa-miR-548b-3p" 6 6
"546" "hsa-miR-1226-3p" 6 6
"547" "hsa-miR-3928" 6 6
"548" "hsa-miR-4780" 6 6
"549" "hsa-miR-1304-3p" 6 6
"550" "hsa-miR-214-5p" 6 6
"551" "hsa-miR-3605-5p" 6 6
"552" "hsa-miR-937-3p" 6 6
"553" "hsa-miR-2964a-3p" 6 6
"554" "hsa-miR-509-3p" 6 6
"555" "hsa-miR-5002-5p" 6 6
"556" "hsa-miR-5000-3p" 5 6
"557" "hsa-miR-6514-5p" 6 6
"558" "hsa-miR-296-3p" 6 6
"559" "hsa-miR-133b" 6 6
"560" "hsa-miR-4707-3p" 4 6
"561" "hsa-miR-676-3p" 6 6
"562" "hsa-miR-1231" 5 6
"563" "hsa-miR-2116-3p" 5 6
"564" "hsa-miR-4284" 3 6
"565" "hsa-miR-19a-5p" 6 6
"566" "hsa-miR-1258" 6 6
"567" "hsa-let-7a-2-3p" 6 6
"568" "hsa-miR-26a-1-3p" 6 6
"569" "hsa-miR-4485" 5 6
"570" "hsa-miR-548aw" 6 6
"571" "hsa-miR-616-5p" 5 6
"572" "hsa-miR-665" 6 6
"573" "hsa-miR-3127-5p" 6 6
"574" "hsa-miR-500a-5p" 6 6
"575" "hsa-miR-642a-5p" 5 6
"576" "hsa-miR-6507-5p" 6 6
"577" "hsa-miR-25-5p" 5 6
"578" "hsa-miR-3681-5p" 6 6
"579" "hsa-miR-545-5p" 6 6
"580" "hsa-miR-5690" 6 6
"581" "hsa-miR-186-3p" 4 6
"582" "hsa-miR-23c" 6 6
"583" "hsa-miR-302a-5p" 5 6
"584" "hsa-miR-548al" 5 6
"585" "hsa-miR-580" 6 6
"586" "hsa-miR-627" 6 6
"587" "hsa-miR-6504-5p" 6 6
"588" "hsa-miR-4671-3p" 5 6
"589" "hsa-miR-664b-5p" 6 6
"590" "hsa-miR-23b-5p" 5 6
"591" "hsa-miR-767-3p" 5 6
"592" "hsa-miR-96-5p" 6 6
"593" "hsa-miR-3176" 6 6
"594" "hsa-miR-5584-5p" 6 6
"595" "hsa-miR-1185-2-3p" 6 6
"596" "hsa-miR-3157-3p" 6 6
"597" "hsa-miR-3688-3p" 6 6
"598" "hsa-miR-943" 5 6
"599" "hsa-miR-1276" 5 6
"600" "hsa-miR-3620-3p" 6 6
"601" "hsa-miR-5695" 6 6
"602" "hsa-miR-642a-3p" 4 6
"603" "hsa-miR-1224-3p" 4 6
"604" "hsa-miR-1976" 5 6
"605" "hsa-miR-452-3p" 5 6
"606" "hsa-miR-3611" 5 6
"607" "hsa-miR-4797-3p" 6 6
"608" "hsa-miR-2355-3p" 6 6
"609" "hsa-miR-4685-3p" 6 6
"610" "hsa-miR-516b-5p" 6 6
"611" "hsa-miR-597" 6 6
"612" "hsa-miR-4781-3p" 6 6
"613" "hsa-miR-365a-5p" 6 6
"614" "hsa-miR-4775" 6 6
"615" "hsa-miR-660-3p" 6 6
"616" "hsa-miR-1299" 3 6
"617" "hsa-miR-302b-3p" 5 6
"618" "hsa-miR-505-5p" 3 6
"619" "hsa-miR-1306-3p" 6 6
"620" "hsa-miR-1255a" 4 6
"621" "hsa-miR-3124-5p" 5 6
"622" "hsa-miR-302d-3p" 5 6
"623" "hsa-miR-4424" 4 6
"624" "hsa-miR-3609" 6 6
"625" "hsa-miR-1912" 5 6
"626" "hsa-miR-636" 4 6
"627" "hsa-miR-222-5p" 4 6
"628" "hsa-miR-376a-2-5p" 4 6
"629" "hsa-miR-545-3p" 4 6
"630" "hsa-miR-548ah-5p" 6 6
"631" "hsa-miR-2114-3p" 5 6
"632" "hsa-miR-483-3p" 2 6
"633" "hsa-miR-3064-5p" 4 6
"634" "hsa-miR-5682" 4 6
"635" "hsa-miR-624-5p" 4 6
"636" "hsa-miR-3139" 6 6
"637" "hsa-miR-4638-3p" 4 6
"638" "hsa-miR-1292-5p" 5 6
"639" "hsa-miR-3917" 4 6
"640" "hsa-miR-4640-3p" 4 6
"641" "hsa-miR-5010-5p" 2 6
"642" "hsa-miR-5581-3p" 4 6
"643" "hsa-miR-3617-5p" 4 6
"644" "hsa-miR-3922-3p" 4 6
"645" "hsa-miR-4473" 5 6
"646" "hsa-miR-4520a-3p" 2 6
"647" "hsa-miR-3180-3p" 5 6
"648" "hsa-miR-2276" 5 6
"649" "hsa-miR-216a-5p" 3 6
"650" "hsa-miR-376b-5p" 5 6
"651" "hsa-miR-376c-5p" 5 6
"652" "hsa-miR-4783-3p" 5 6
"653" "hsa-miR-3622a-3p" 4 6
"654" "hsa-miR-4645-3p" 4 6
"655" "hsa-miR-548n" 3 6
"656" "hsa-miR-552" 5 6
"657" "hsa-miR-892a" 5 6
"658" "hsa-miR-188-3p" 3 6
"659" "hsa-miR-495-5p" 3 6
"660" "hsa-miR-3622b-3p" 3 6
"661" "hsa-miR-3940-3p" 5 6
"662" "hsa-miR-106a-3p" 4 6
"663" "hsa-miR-3151" 3 6
"664" "hsa-miR-3677-3p" 3 6
