"miR" "mammary.gland" "num_samples"
"423" "hsa-mir-337-5p" 9 15
"424" "hsa-mir-338-3p" 15 15
"425" "hsa-mir-338-5p" 0 15
"426" "hsa-mir-339-3p" 0 15
"427" "hsa-mir-339-5p" 0 15
"428" "hsa-mir-33a" 4 15
"429" "hsa-mir-33a*" 0 15
"430" "hsa-mir-33b" 0 15
"431" "hsa-mir-33b*" 5 15
"432" "hsa-mir-340" 14 15
"433" "hsa-mir-340*" 8 15
"434" "hsa-mir-342-3p" 15 15
"435" "hsa-mir-342-5p" 12 15
"436" "hsa-mir-345" 1 15
"437" "hsa-mir-346" 0 15
"438" "hsa-mir-34a" 15 15
"439" "hsa-mir-34a*" 5 15
"440" "hsa-mir-34b" 0 15
"441" "hsa-mir-34b*" 15 15
"442" "hsa-mir-34c-3p" 0 15
"443" "hsa-mir-34c-5p" 9 15
"444" "hsa-mir-361-3p" 14 15
"445" "hsa-mir-361-5p" 15 15
"446" "hsa-mir-362-3p" 11 15
"447" "hsa-mir-362-5p" 12 15
"448" "hsa-mir-363" 14 15
"449" "hsa-mir-363*" 0 15
"450" "hsa-mir-365" 15 15
"451" "hsa-mir-367" 0 15
"452" "hsa-mir-367*" 0 15
"453" "hsa-mir-369-3p" 0 15
"454" "hsa-mir-369-5p" 5 15
"455" "hsa-mir-370" 5 15
"456" "hsa-mir-371-3p" 0 15
"457" "hsa-mir-371-5p" 11 15
"458" "hsa-mir-372" 0 15
"459" "hsa-mir-373" 0 15
"460" "hsa-mir-373*" 0 15
"461" "hsa-mir-374a" 15 15
"462" "hsa-mir-374a*" 0 15
"463" "hsa-mir-374b" 15 15
"464" "hsa-mir-374b*" 0 15
"465" "hsa-mir-375" 11 15
"466" "hsa-mir-376a" 15 15
"467" "hsa-mir-376a*" 4 15
"468" "hsa-mir-376b" 2 15
"469" "hsa-mir-376c" 15 15
"470" "hsa-mir-377" 15 15
"471" "hsa-mir-377*" 1 15
"472" "hsa-mir-378" 14 15
"473" "hsa-mir-378*" 10 15
"474" "hsa-mir-379" 12 15
"475" "hsa-mir-379*" 0 15
"476" "hsa-mir-380" 0 15
"477" "hsa-mir-380*" 0 15
"478" "hsa-mir-381" 14 15
"479" "hsa-mir-382" 5 15
"480" "hsa-mir-383" 0 15
"481" "hsa-mir-384" 0 15
"482" "hsa-mir-409-3p" 7 15
"483" "hsa-mir-409-5p" 2 15
"484" "hsa-mir-410" 7 15
"485" "hsa-mir-411" 7 15
"486" "hsa-mir-411*" 0 15
"487" "hsa-mir-412" 0 15
"488" "hsa-mir-421" 0 15
"489" "hsa-mir-422a" 0 15
"490" "hsa-mir-423-3p" 0 15
"491" "hsa-mir-423-5p" 11 15
"492" "hsa-mir-424" 15 15
"493" "hsa-mir-424*" 3 15
"494" "hsa-mir-425" 14 15
"495" "hsa-mir-425*" 4 15
"496" "hsa-mir-429" 15 15
"497" "hsa-mir-431" 0 15
"498" "hsa-mir-431*" 0 15
"499" "hsa-mir-432" 5 15
"500" "hsa-mir-432*" 0 15
"501" "hsa-mir-433" 1 15
"502" "hsa-mir-448" 0 15
"503" "hsa-mir-449a" 2 15
"504" "hsa-mir-449b" 0 15
"505" "hsa-mir-450a" 13 15
"506" "hsa-mir-450b-3p" 0 15
"507" "hsa-mir-450b-5p" 0 15
"508" "hsa-mir-451" 15 15
"509" "hsa-mir-452" 14 15
"510" "hsa-mir-452*" 0 15
"511" "hsa-mir-453" 0 15
"512" "hsa-mir-454" 9 15
"513" "hsa-mir-454*" 0 15
"514" "hsa-mir-455-3p" 15 15
"515" "hsa-mir-455-5p" 7 15
"516" "hsa-mir-483-3p" 6 15
"517" "hsa-mir-483-5p" 15 15
"518" "hsa-mir-484" 6 15
"519" "hsa-mir-485-3p" 1 15
"520" "hsa-mir-485-5p" 1 15
"521" "hsa-mir-486-3p" 0 15
"522" "hsa-mir-486-5p" 14 15
"523" "hsa-mir-487a" 0 15
"524" "hsa-mir-487b" 9 15
"525" "hsa-mir-488" 2 15
"526" "hsa-mir-488*" 0 15
"527" "hsa-mir-489" 8 15
"528" "hsa-mir-490-3p" 0 15
"529" "hsa-mir-490-5p" 0 15
"530" "hsa-mir-491-3p" 0 15
"531" "hsa-mir-491-5p" 0 15
"532" "hsa-mir-492" 0 15
"533" "hsa-mir-493" 0 15
"534" "hsa-mir-493*" 2 15
"535" "hsa-mir-494" 15 15
"536" "hsa-mir-495" 10 15
"537" "hsa-mir-496" 0 15
"538" "hsa-mir-497" 15 15
"539" "hsa-mir-497*" 0 15
"540" "hsa-mir-498" 6 15
"541" "hsa-mir-499-3p" 0 15
"542" "hsa-mir-499-5p" 1 15
"543" "hsa-mir-500" 1 15
"544" "hsa-mir-500*" 8 15
"545" "hsa-mir-501-3p" 0 15
"546" "hsa-mir-501-5p" 2 15
"547" "hsa-mir-502-3p" 11 15
"548" "hsa-mir-502-5p" 1 15
