"miR" "bone.marrow" "num_samples"
"443" "hsa-mir-511" 0 13
"444" "hsa-mir-512-3p" 2 13
"445" "hsa-mir-512-5p" 0 13
"446" "hsa-mir-513a-3p" 0 13
"447" "hsa-mir-513a-5p" 5 13
"448" "hsa-mir-513b" 3 13
"449" "hsa-mir-513c" 2 13
"450" "hsa-mir-514" 0 13
"451" "hsa-mir-515-3p" 0 13
"452" "hsa-mir-515-5p" 0 13
"453" "hsa-mir-516a-3p" 0 13
"454" "hsa-mir-516a-5p" 0 13
"455" "hsa-mir-516b" 0 13
"456" "hsa-mir-517*" 0 13
"457" "hsa-mir-517a" 0 13
"458" "hsa-mir-517b" 0 13
"459" "hsa-mir-517c" 0 13
"460" "hsa-mir-518a-3p" 0 13
"461" "hsa-mir-518b" 0 13
"462" "hsa-mir-518c" 0 13
"463" "hsa-mir-518c*" 1 13
"464" "hsa-mir-518d-3p" 0 13
"465" "hsa-mir-518d-5p" 0 13
"466" "hsa-mir-518e" 0 13
"467" "hsa-mir-518e*" 0 13
"468" "hsa-mir-518f" 0 13
"469" "hsa-mir-518f*" 0 13
"470" "hsa-mir-519a" 0 13
"471" "hsa-mir-519b-3p" 0 13
"472" "hsa-mir-519c-3p" 0 13
"473" "hsa-mir-519d" 0 13
"474" "hsa-mir-519e" 0 13
"475" "hsa-mir-519e*" 0 13
"476" "hsa-mir-520a-3p" 0 13
"477" "hsa-mir-520a-5p" 0 13
"478" "hsa-mir-520b" 0 13
"479" "hsa-mir-520c-3p" 0 13
"480" "hsa-mir-520d-3p" 0 13
"481" "hsa-mir-520d-5p" 0 13
"482" "hsa-mir-520e" 0 13
"483" "hsa-mir-520f" 0 13
"484" "hsa-mir-520g" 0 13
"485" "hsa-mir-520h" 0 13
"486" "hsa-mir-521" 0 13
"487" "hsa-mir-522" 0 13
"488" "hsa-mir-523" 0 13
"489" "hsa-mir-524-3p" 0 13
"490" "hsa-mir-524-5p" 0 13
"491" "hsa-mir-525-3p" 0 13
"492" "hsa-mir-525-5p" 0 13
"493" "hsa-mir-526b" 0 13
"494" "hsa-mir-526b*" 0 13
"495" "hsa-mir-527" 0 13
"496" "hsa-mir-532-3p" 0 13
"497" "hsa-mir-532-5p" 0 13
"498" "hsa-mir-539" 0 13
"499" "hsa-mir-541" 0 13
"500" "hsa-mir-541*" 0 13
"501" "hsa-mir-542-3p" 1 13
"502" "hsa-mir-542-5p" 0 13
"503" "hsa-mir-543" 0 13
"504" "hsa-mir-544" 0 13
"505" "hsa-mir-545" 0 13
"506" "hsa-mir-545*" 0 13
"507" "hsa-mir-548a-3p" 0 13
"508" "hsa-mir-548a-5p" 0 13
"509" "hsa-mir-548b-3p" 0 13
"510" "hsa-mir-548b-5p" 0 13
"511" "hsa-mir-548c-3p" 0 13
"512" "hsa-mir-548c-5p" 0 13
"513" "hsa-mir-548d-3p" 0 13
"514" "hsa-mir-548d-5p" 0 13
"515" "hsa-mir-549" 0 13
"516" "hsa-mir-550" 0 13
"517" "hsa-mir-550*" 0 13
"518" "hsa-mir-551a" 0 13
"519" "hsa-mir-551b" 0 13
"520" "hsa-mir-551b*" 0 13
"521" "hsa-mir-552" 0 13
"522" "hsa-mir-553" 0 13
"523" "hsa-mir-554" 0 13
"524" "hsa-mir-555" 0 13
"525" "hsa-mir-556-3p" 0 13
"526" "hsa-mir-556-5p" 0 13
"527" "hsa-mir-557" 1 13
"528" "hsa-mir-558" 0 13
"529" "hsa-mir-559" 0 13
"530" "hsa-mir-561" 0 13
"531" "hsa-mir-562" 0 13
"532" "hsa-mir-563" 0 13
"533" "hsa-mir-564" 6 13
"534" "hsa-mir-566" 0 13
"535" "hsa-mir-567" 0 13
"536" "hsa-mir-568" 0 13
"537" "hsa-mir-569" 0 13
"538" "hsa-mir-570" 0 13
"539" "hsa-mir-571" 0 13
"540" "hsa-mir-572" 6 13
"541" "hsa-mir-573" 0 13
"542" "hsa-mir-574-3p" 4 13
"543" "hsa-mir-574-5p" 10 13
"544" "hsa-mir-575" 10 13
"545" "hsa-mir-576-3p" 0 13
"546" "hsa-mir-576-5p" 0 13
"547" "hsa-mir-577" 0 13
"548" "hsa-mir-578" 0 13
"549" "hsa-mir-579" 0 13
"550" "hsa-mir-580" 0 13
"551" "hsa-mir-581" 0 13
"552" "hsa-mir-582-3p" 0 13
"553" "hsa-mir-582-5p" 7 13
"554" "hsa-mir-583" 0 13
"555" "hsa-mir-584" 1 13
"556" "hsa-mir-585" 0 13
"557" "hsa-mir-586" 0 13
"558" "hsa-mir-587" 0 13
"559" "hsa-mir-588" 0 13
"560" "hsa-mir-589" 0 13
"561" "hsa-mir-589*" 0 13
"562" "hsa-mir-590-3p" 0 13
"563" "hsa-mir-590-5p" 5 13
"564" "hsa-mir-591" 0 13
"565" "hsa-mir-592" 0 13
"566" "hsa-mir-593" 0 13
"567" "hsa-mir-593*" 0 13
"568" "hsa-mir-595" 1 13
"569" "hsa-mir-596" 0 13
"570" "hsa-mir-597" 0 13
"571" "hsa-mir-598" 0 13
"572" "hsa-mir-599" 0 13
"573" "hsa-mir-600" 0 13
"574" "hsa-mir-601" 1 13
"575" "hsa-mir-602" 1 13
"576" "hsa-mir-603" 0 13
"577" "hsa-mir-604" 0 13
"578" "hsa-mir-605" 0 13
"579" "hsa-mir-606" 0 13
"580" "hsa-mir-607" 0 13
"581" "hsa-mir-608" 0 13
"582" "hsa-mir-609" 0 13
"583" "hsa-mir-610" 0 13
"584" "hsa-mir-611" 0 13
"585" "hsa-mir-612" 0 13
"586" "hsa-mir-613" 0 13
"587" "hsa-mir-614" 0 13
"588" "hsa-mir-615-3p" 0 13
"589" "hsa-mir-615-5p" 0 13
"590" "hsa-mir-616" 0 13
"591" "hsa-mir-616*" 0 13
"592" "hsa-mir-617" 0 13
"593" "hsa-mir-618" 0 13
"594" "hsa-mir-619" 0 13
"595" "hsa-mir-620" 0 13
"596" "hsa-mir-621" 0 13
"597" "hsa-mir-622" 0 13
"598" "hsa-mir-623" 1 13
"599" "hsa-mir-624" 0 13
"600" "hsa-mir-624*" 0 13
"601" "hsa-mir-625" 4 13
"602" "hsa-mir-625*" 0 13
"603" "hsa-mir-626" 0 13
"604" "hsa-mir-627" 0 13
"605" "hsa-mir-628-3p" 0 13
"606" "hsa-mir-628-5p" 0 13
"607" "hsa-mir-629" 0 13
"608" "hsa-mir-629*" 0 13
"609" "hsa-mir-630" 8 13
"610" "hsa-mir-631" 1 13
"611" "hsa-mir-632" 0 13
"612" "hsa-mir-633" 0 13
"613" "hsa-mir-634" 0 13
"614" "hsa-mir-635" 0 13
"615" "hsa-mir-636" 0 13
"616" "hsa-mir-637" 0 13
"617" "hsa-mir-638" 12 13
"618" "hsa-mir-639" 0 13
"619" "hsa-mir-640" 0 13
"620" "hsa-mir-641" 0 13
"621" "hsa-mir-642" 0 13
"622" "hsa-mir-643" 0 13
"623" "hsa-mir-644" 0 13
"624" "hsa-mir-645" 0 13
"625" "hsa-mir-646" 0 13
"626" "hsa-mir-647" 0 13
"627" "hsa-mir-648" 0 13
"628" "hsa-mir-649" 0 13
"629" "hsa-mir-650" 4 13
"630" "hsa-mir-651" 0 13
"631" "hsa-mir-652" 5 13
