"miR" "adipose.tissue" "sample_num"
"447" "hsa-miR-302e" 0 200
"448" "hsa-miR-302f" 0 200
"449" "hsa-miR-3064-3p" 2 200
"450" "hsa-miR-3064-5p" 0 200
"451" "hsa-miR-3065-3p" 3 200
"452" "hsa-miR-3065-5p" 0 200
"453" "hsa-miR-3074-3p" 1 200
"454" "hsa-miR-3074-5p" 24 200
"455" "hsa-miR-30a-3p" 106 200
"456" "hsa-miR-30a-5p" 15 200
"457" "hsa-miR-30b-3p" 83 200
"458" "hsa-miR-30b-5p" 66 200
"459" "hsa-miR-30c-1-3p" 39 200
"460" "hsa-miR-30c-2-3p" 77 200
"461" "hsa-miR-30c-5p" 47 200
"462" "hsa-miR-30d-3p" 87 200
"463" "hsa-miR-30d-5p" 42 200
"464" "hsa-miR-30e-3p" 60 200
"465" "hsa-miR-30e-5p" 72 200
"466" "hsa-miR-3115" 0 200
"467" "hsa-miR-3116" 0 200
"468" "hsa-miR-3117-3p" 19 200
"469" "hsa-miR-3117-5p" 0 200
"470" "hsa-miR-3118" 0 200
"471" "hsa-miR-3119" 0 200
"472" "hsa-miR-3120-3p" 0 200
"473" "hsa-miR-3120-5p" 0 200
"474" "hsa-miR-3121-3p" 0 200
"475" "hsa-miR-3121-5p" 0 200
"476" "hsa-miR-3122" 0 200
"477" "hsa-miR-3123" 0 200
"478" "hsa-miR-3124-3p" 0 200
"479" "hsa-miR-3124-5p" 0 200
"480" "hsa-miR-3125" 0 200
"481" "hsa-miR-3126-3p" 0 200
"482" "hsa-miR-3126-5p" 0 200
"483" "hsa-miR-3127-3p" 0 200
"484" "hsa-miR-3127-5p" 3 200
"485" "hsa-miR-3128" 3 200
"486" "hsa-miR-3129-3p" 48 200
"487" "hsa-miR-3129-5p" 2 200
"488" "hsa-miR-3130-3p" 1 200
"489" "hsa-miR-3130-5p" 27 200
"490" "hsa-miR-3131" 0 200
"491" "hsa-miR-3132" 0 200
"492" "hsa-miR-3133" 0 200
"493" "hsa-miR-3134" 0 200
"494" "hsa-miR-3135a" 8 200
"495" "hsa-miR-3135b" 4 200
"496" "hsa-miR-3136-3p" 0 200
"497" "hsa-miR-3136-5p" 16 200
"498" "hsa-miR-3137" 0 200
"499" "hsa-miR-3138" 0 200
"500" "hsa-miR-3139" 4 200
"501" "hsa-miR-31-3p" 0 200
"502" "hsa-miR-3140-3p" 3 200
"503" "hsa-miR-3140-5p" 0 200
"504" "hsa-miR-3141" 0 200
"505" "hsa-miR-3142" 0 200
"506" "hsa-miR-3143" 47 200
"507" "hsa-miR-3144-3p" 0 200
"508" "hsa-miR-3144-5p" 0 200
"509" "hsa-miR-3145-3p" 0 200
"510" "hsa-miR-3145-5p" 0 200
"511" "hsa-miR-3146" 0 200
"512" "hsa-miR-3147" 0 200
"513" "hsa-miR-3148" 0 200
"514" "hsa-miR-3149" 0 200
"515" "hsa-miR-3150a-3p" 0 200
"516" "hsa-miR-3150a-5p" 1 200
"517" "hsa-miR-3150b-3p" 2 200
"518" "hsa-miR-3150b-5p" 0 200
"519" "hsa-miR-3151" 0 200
"520" "hsa-miR-3152-3p" 0 200
"521" "hsa-miR-3152-5p" 0 200
"522" "hsa-miR-3153" 0 200
"523" "hsa-miR-3154" 0 200
"524" "hsa-miR-3155a" 0 200
"525" "hsa-miR-3156-3p" 0 200
"526" "hsa-miR-3156-5p" 0 200
"527" "hsa-miR-3157-3p" 43 200
"528" "hsa-miR-3157-5p" 12 200
"529" "hsa-miR-3158-3p" 65 200
"530" "hsa-miR-3158-5p" 0 200
"531" "hsa-miR-3159" 0 200
"532" "hsa-miR-31-5p" 65 200
"533" "hsa-miR-3160-3p" 5 200
"534" "hsa-miR-3160-5p" 0 200
"535" "hsa-miR-3161" 3 200
"536" "hsa-miR-3162-3p" 0 200
"537" "hsa-miR-3162-5p" 0 200
"538" "hsa-miR-3163" 32 200
"539" "hsa-miR-3164" 0 200
"540" "hsa-miR-3165" 0 200
"541" "hsa-miR-3166" 0 200
"542" "hsa-miR-3167" 0 200
"543" "hsa-miR-3168" 3 200
"544" "hsa-miR-3169" 0 200
"545" "hsa-miR-3170" 0 200
"546" "hsa-miR-3171" 0 200
"547" "hsa-miR-3173-3p" 0 200
"548" "hsa-miR-3173-5p" 43 200
"549" "hsa-miR-3174" 0 200
"550" "hsa-miR-3175" 0 200
"551" "hsa-miR-3176" 46 200
"552" "hsa-miR-3177-3p" 0 200
"553" "hsa-miR-3177-5p" 0 200
"554" "hsa-miR-3178" 0 200
"555" "hsa-miR-3179" 0 200
"556" "hsa-miR-3180" 0 200
"557" "hsa-miR-3180-3p" 0 200
"558" "hsa-miR-3180-5p" 0 200
"559" "hsa-miR-3181" 0 200
"560" "hsa-miR-3182" 0 200
"561" "hsa-miR-3183" 0 200
"562" "hsa-miR-3184-3p" 0 200
"563" "hsa-miR-3184-5p" 0 200
"564" "hsa-miR-3185" 0 200
"565" "hsa-miR-3186-3p" 0 200
"566" "hsa-miR-3186-5p" 0 200
"567" "hsa-miR-3187-3p" 1 200
"568" "hsa-miR-3187-5p" 0 200
"569" "hsa-miR-3188" 0 200
"570" "hsa-miR-3189-3p" 0 200
"571" "hsa-miR-3189-5p" 0 200
"572" "hsa-miR-3190-3p" 0 200
"573" "hsa-miR-3190-5p" 0 200
"574" "hsa-miR-3191-3p" 0 200
"575" "hsa-miR-3191-5p" 0 200
"576" "hsa-miR-3192" 0 200
"577" "hsa-miR-3193" 0 200
"578" "hsa-miR-3194-3p" 0 200
