"miR" "ovary" "num_samples"
"601" "hsa-mir-516a-5p" 1 5
"602" "hsa-mir-516b" 0 5
"603" "hsa-mir-517*" 0 5
"604" "hsa-mir-517a" 0 5
"605" "hsa-mir-517b" 0 5
"606" "hsa-mir-517c" 0 5
"607" "hsa-mir-518a-3p" 0 5
"608" "hsa-mir-518a-5p" 0 5
"609" "hsa-mir-518b" 0 5
"610" "hsa-mir-518c" 0 5
"611" "hsa-mir-518c*" 0 5
"612" "hsa-mir-518d-3p" 0 5
"613" "hsa-mir-518e" 0 5
"614" "hsa-mir-518e*" 0 5
"615" "hsa-mir-518f" 0 5
"616" "hsa-mir-518f*" 0 5
"617" "hsa-mir-519b-3p" 0 5
"618" "hsa-mir-519c-3p" 0 5
"619" "hsa-mir-519d" 0 5
"620" "hsa-mir-519e" 0 5
"621" "hsa-mir-519e*" 0 5
"622" "hsa-mir-520a-3p" 0 5
"623" "hsa-mir-520a-5p" 0 5
"624" "hsa-mir-520b" 0 5
"625" "hsa-mir-520c-3p" 0 5
"626" "hsa-mir-520d-3p" 0 5
"627" "hsa-mir-520e" 0 5
"628" "hsa-mir-520f" 0 5
"629" "hsa-mir-520g" 0 5
"630" "hsa-mir-520h" 0 5
"631" "hsa-mir-521" 0 5
"632" "hsa-mir-522" 0 5
"633" "hsa-mir-523" 0 5
"634" "hsa-mir-524-3p" 0 5
"635" "hsa-mir-525-3p" 0 5
"636" "hsa-mir-525-5p" 0 5
"637" "hsa-mir-526b" 0 5
"638" "hsa-mir-526b*" 0 5
"639" "hsa-mir-532-3p" 0 5
"640" "hsa-mir-532-5p" 0 5
"641" "hsa-mir-539" 0 5
"642" "hsa-mir-541" 0 5
"643" "hsa-mir-541*" 0 5
"644" "hsa-mir-542-3p" 0 5
"645" "hsa-mir-542-5p" 0 5
"646" "hsa-mir-543" 0 5
"647" "hsa-mir-544" 0 5
"648" "hsa-mir-545" 0 5
"649" "hsa-mir-545*" 0 5
"650" "hsa-mir-548a-3p" 0 5
"651" "hsa-mir-548a-5p" 0 5
"652" "hsa-mir-548b-3p" 0 5
"653" "hsa-mir-548b-5p" 0 5
"654" "hsa-mir-548c-3p" 0 5
"655" "hsa-mir-548c-5p" 0 5
"656" "hsa-mir-548d-3p" 0 5
"657" "hsa-mir-548d-5p" 0 5
"658" "hsa-mir-548e" 0 5
"659" "hsa-mir-548f" 0 5
"660" "hsa-mir-548g" 0 5
"661" "hsa-mir-548h" 0 5
"662" "hsa-mir-548i" 0 5
"663" "hsa-mir-548j" 0 5
"664" "hsa-mir-548k" 0 5
"665" "hsa-mir-548l" 0 5
"666" "hsa-mir-548m" 0 5
"667" "hsa-mir-548n" 0 5
"668" "hsa-mir-548o" 0 5
"669" "hsa-mir-548p" 0 5
"670" "hsa-mir-548q" 5 5
"671" "hsa-mir-549" 0 5
"672" "hsa-mir-550a" 1 5
"673" "hsa-mir-550a*" 0 5
"674" "hsa-mir-551a" 0 5
"675" "hsa-mir-551b" 0 5
"676" "hsa-mir-551b*" 0 5
"677" "hsa-mir-552" 0 5
"678" "hsa-mir-553" 0 5
"679" "hsa-mir-554" 0 5
"680" "hsa-mir-555" 0 5
"681" "hsa-mir-556-3p" 0 5
"682" "hsa-mir-556-5p" 0 5
"683" "hsa-mir-557" 3 5
"684" "hsa-mir-558" 0 5
"685" "hsa-mir-559" 0 5
"686" "hsa-mir-561" 0 5
"687" "hsa-mir-562" 0 5
"688" "hsa-mir-563" 0 5
"689" "hsa-mir-564" 0 5
"690" "hsa-mir-566" 0 5
"691" "hsa-mir-567" 0 5
"692" "hsa-mir-568" 0 5
"693" "hsa-mir-569" 0 5
"694" "hsa-mir-570" 0 5
"695" "hsa-mir-571" 0 5
"696" "hsa-mir-572" 2 5
"697" "hsa-mir-573" 0 5
"698" "hsa-mir-574-3p" 0 5
"699" "hsa-mir-574-5p" 3 5
"700" "hsa-mir-575" 5 5
"701" "hsa-mir-576-3p" 0 5
"702" "hsa-mir-576-5p" 0 5
"703" "hsa-mir-577" 0 5
"704" "hsa-mir-578" 0 5
"705" "hsa-mir-579" 0 5
"706" "hsa-mir-580" 0 5
"707" "hsa-mir-581" 0 5
"708" "hsa-mir-582-3p" 0 5
"709" "hsa-mir-582-5p" 0 5
"710" "hsa-mir-583" 0 5
"711" "hsa-mir-584" 4 5
"712" "hsa-mir-585" 0 5
"713" "hsa-mir-586" 0 5
"714" "hsa-mir-587" 0 5
"715" "hsa-mir-588" 0 5
"716" "hsa-mir-589" 0 5
"717" "hsa-mir-589*" 0 5
"718" "hsa-mir-590-3p" 0 5
"719" "hsa-mir-590-5p" 3 5
"720" "hsa-mir-591" 0 5
"721" "hsa-mir-592" 0 5
"722" "hsa-mir-593" 0 5
"723" "hsa-mir-593*" 0 5
"724" "hsa-mir-595" 0 5
"725" "hsa-mir-596" 0 5
"726" "hsa-mir-597" 0 5
"727" "hsa-mir-598" 0 5
"728" "hsa-mir-599" 0 5
"729" "hsa-mir-600" 0 5
"730" "hsa-mir-601" 4 5
"731" "hsa-mir-602" 0 5
