"miR" "kidney" "num_samples"
"538" "hsa-mir-497" 3 3
"539" "hsa-mir-497*" 0 3
"540" "hsa-mir-498" 0 3
"541" "hsa-mir-499-3p" 0 3
"542" "hsa-mir-499-5p" 0 3
"543" "hsa-mir-500" 0 3
"544" "hsa-mir-500*" 3 3
"545" "hsa-mir-501-3p" 0 3
"546" "hsa-mir-501-5p" 2 3
"547" "hsa-mir-502-3p" 2 3
"548" "hsa-mir-502-5p" 0 3
"549" "hsa-mir-503" 0 3
"550" "hsa-mir-504" 0 3
"551" "hsa-mir-505" 3 3
"552" "hsa-mir-505*" 0 3
"553" "hsa-mir-506" 0 3
"554" "hsa-mir-507" 0 3
"555" "hsa-mir-508-3p" 0 3
"556" "hsa-mir-508-5p" 0 3
"557" "hsa-mir-509-3-5p" 0 3
"558" "hsa-mir-509-3p" 1 3
"559" "hsa-mir-509-5p" 0 3
"560" "hsa-mir-510" 0 3
"561" "hsa-mir-511" 0 3
"562" "hsa-mir-512-3p" 0 3
"563" "hsa-mir-512-5p" 0 3
"564" "hsa-mir-513a-3p" 0 3
"565" "hsa-mir-513a-5p" 1 3
"566" "hsa-mir-513b" 0 3
"567" "hsa-mir-513c" 0 3
"568" "hsa-mir-514" 0 3
"569" "hsa-mir-515-3p" 0 3
"570" "hsa-mir-515-5p" 0 3
"571" "hsa-mir-516a-3p" 0 3
"572" "hsa-mir-516a-5p" 0 3
"573" "hsa-mir-516b" 0 3
"574" "hsa-mir-517*" 0 3
"575" "hsa-mir-517a" 0 3
"576" "hsa-mir-517b" 0 3
"577" "hsa-mir-517c" 0 3
"578" "hsa-mir-518a-3p" 0 3
"579" "hsa-mir-518a-5p" 0 3
"580" "hsa-mir-518b" 0 3
"581" "hsa-mir-518c" 0 3
"582" "hsa-mir-518c*" 0 3
"583" "hsa-mir-518d-3p" 0 3
"584" "hsa-mir-518e" 0 3
"585" "hsa-mir-518e*" 0 3
"586" "hsa-mir-518f" 0 3
"587" "hsa-mir-518f*" 0 3
"588" "hsa-mir-519b-3p" 0 3
"589" "hsa-mir-519c-3p" 0 3
"590" "hsa-mir-519d" 0 3
"591" "hsa-mir-519e" 0 3
"592" "hsa-mir-519e*" 0 3
"593" "hsa-mir-520a-3p" 0 3
"594" "hsa-mir-520a-5p" 0 3
"595" "hsa-mir-520b" 0 3
"596" "hsa-mir-520c-3p" 0 3
"597" "hsa-mir-520d-3p" 0 3
"598" "hsa-mir-520e" 0 3
"599" "hsa-mir-520f" 0 3
"600" "hsa-mir-520g" 0 3
"601" "hsa-mir-520h" 0 3
"602" "hsa-mir-521" 0 3
"603" "hsa-mir-522" 0 3
"604" "hsa-mir-523" 0 3
"605" "hsa-mir-524-3p" 0 3
"606" "hsa-mir-525-3p" 0 3
"607" "hsa-mir-525-5p" 0 3
"608" "hsa-mir-526b" 0 3
"609" "hsa-mir-526b*" 0 3
"610" "hsa-mir-532-3p" 2 3
"611" "hsa-mir-532-5p" 3 3
"612" "hsa-mir-539" 0 3
"613" "hsa-mir-541" 0 3
"614" "hsa-mir-541*" 0 3
"615" "hsa-mir-542-3p" 0 3
"616" "hsa-mir-542-5p" 0 3
"617" "hsa-mir-543" 0 3
"618" "hsa-mir-544" 0 3
"619" "hsa-mir-545" 0 3
"620" "hsa-mir-545*" 0 3
"621" "hsa-mir-548a-3p" 0 3
"622" "hsa-mir-548a-5p" 0 3
"623" "hsa-mir-548b-3p" 0 3
"624" "hsa-mir-548b-5p" 0 3
"625" "hsa-mir-548c-3p" 0 3
"626" "hsa-mir-548c-5p" 0 3
"627" "hsa-mir-548d-3p" 0 3
"628" "hsa-mir-548d-5p" 0 3
"629" "hsa-mir-548e" 0 3
"630" "hsa-mir-548f" 3 3
"631" "hsa-mir-548g" 0 3
"632" "hsa-mir-548h" 0 3
"633" "hsa-mir-548i" 0 3
"634" "hsa-mir-548j" 0 3
"635" "hsa-mir-548k" 0 3
"636" "hsa-mir-548l" 0 3
"637" "hsa-mir-548m" 0 3
"638" "hsa-mir-548n" 0 3
"639" "hsa-mir-548o" 0 3
"640" "hsa-mir-548p" 0 3
"641" "hsa-mir-549" 0 3
"642" "hsa-mir-550" 0 3
"643" "hsa-mir-550*" 0 3
"644" "hsa-mir-551a" 0 3
"645" "hsa-mir-551b" 0 3
"646" "hsa-mir-551b*" 0 3
"647" "hsa-mir-552" 0 3
"648" "hsa-mir-553" 0 3
"649" "hsa-mir-554" 0 3
"650" "hsa-mir-555" 0 3
"651" "hsa-mir-556-3p" 0 3
"652" "hsa-mir-556-5p" 0 3
"653" "hsa-mir-557" 0 3
"654" "hsa-mir-558" 0 3
"655" "hsa-mir-559" 0 3
"656" "hsa-mir-561" 0 3
"657" "hsa-mir-562" 0 3
"658" "hsa-mir-563" 0 3
"659" "hsa-mir-564" 0 3
"660" "hsa-mir-566" 0 3
"661" "hsa-mir-567" 0 3
"662" "hsa-mir-568" 0 3
"663" "hsa-mir-569" 0 3
"664" "hsa-mir-570" 0 3
"665" "hsa-mir-571" 0 3
"666" "hsa-mir-572" 1 3
"667" "hsa-mir-573" 0 3
"668" "hsa-mir-574-3p" 3 3
"669" "hsa-mir-574-5p" 2 3
"670" "hsa-mir-575" 2 3
"671" "hsa-mir-576-3p" 0 3
"672" "hsa-mir-576-5p" 0 3
"673" "hsa-mir-577" 0 3
"674" "hsa-mir-578" 0 3
"675" "hsa-mir-579" 0 3
"676" "hsa-mir-580" 0 3
"677" "hsa-mir-581" 0 3
