"miR" "bone" "num_samples"
"400" "hsa-mir-484" 1 4
"401" "hsa-mir-485-3p" 1 4
"402" "hsa-mir-485-5p" 0 4
"403" "hsa-mir-486-3p" 0 4
"404" "hsa-mir-486-5p" 4 4
"405" "hsa-mir-487a" 0 4
"406" "hsa-mir-487b" 1 4
"407" "hsa-mir-488" 0 4
"408" "hsa-mir-488*" 0 4
"409" "hsa-mir-489" 0 4
"410" "hsa-mir-490-3p" 0 4
"411" "hsa-mir-490-5p" 0 4
"412" "hsa-mir-491-3p" 0 4
"413" "hsa-mir-491-5p" 0 4
"414" "hsa-mir-492" 0 4
"415" "hsa-mir-493" 0 4
"416" "hsa-mir-493*" 0 4
"417" "hsa-mir-494" 4 4
"418" "hsa-mir-495" 0 4
"419" "hsa-mir-496" 0 4
"420" "hsa-mir-497" 3 4
"421" "hsa-mir-497*" 0 4
"422" "hsa-mir-498" 1 4
"423" "hsa-mir-499-3p" 0 4
"424" "hsa-mir-499-5p" 0 4
"425" "hsa-mir-500" 1 4
"426" "hsa-mir-500*" 0 4
"427" "hsa-mir-501-3p" 0 4
"428" "hsa-mir-501-5p" 0 4
"429" "hsa-mir-502-3p" 0 4
"430" "hsa-mir-502-5p" 0 4
"431" "hsa-mir-503" 0 4
"432" "hsa-mir-504" 0 4
"433" "hsa-mir-505" 0 4
"434" "hsa-mir-505*" 0 4
"435" "hsa-mir-506" 0 4
"436" "hsa-mir-507" 0 4
"437" "hsa-mir-508-3p" 0 4
"438" "hsa-mir-508-5p" 0 4
"439" "hsa-mir-509-3-5p" 0 4
"440" "hsa-mir-509-3p" 0 4
"441" "hsa-mir-509-5p" 0 4
"442" "hsa-mir-510" 0 4
"443" "hsa-mir-511" 0 4
"444" "hsa-mir-512-3p" 0 4
"445" "hsa-mir-512-5p" 0 4
"446" "hsa-mir-513a-3p" 0 4
"447" "hsa-mir-513a-5p" 4 4
"448" "hsa-mir-513b" 1 4
"449" "hsa-mir-513c" 1 4
"450" "hsa-mir-514" 0 4
"451" "hsa-mir-515-3p" 0 4
"452" "hsa-mir-515-5p" 0 4
"453" "hsa-mir-516a-3p" 0 4
"454" "hsa-mir-516a-5p" 0 4
"455" "hsa-mir-516b" 0 4
"456" "hsa-mir-517*" 0 4
"457" "hsa-mir-517a" 0 4
"458" "hsa-mir-517b" 0 4
"459" "hsa-mir-517c" 0 4
"460" "hsa-mir-518a-3p" 0 4
"461" "hsa-mir-518b" 0 4
"462" "hsa-mir-518c" 0 4
"463" "hsa-mir-518c*" 0 4
"464" "hsa-mir-518d-3p" 0 4
"465" "hsa-mir-518d-5p" 0 4
"466" "hsa-mir-518e" 0 4
"467" "hsa-mir-518e*" 0 4
"468" "hsa-mir-518f" 0 4
"469" "hsa-mir-518f*" 0 4
"470" "hsa-mir-519a" 0 4
"471" "hsa-mir-519b-3p" 0 4
"472" "hsa-mir-519c-3p" 0 4
"473" "hsa-mir-519d" 0 4
"474" "hsa-mir-519e" 0 4
"475" "hsa-mir-519e*" 0 4
"476" "hsa-mir-520a-3p" 0 4
"477" "hsa-mir-520a-5p" 0 4
"478" "hsa-mir-520b" 0 4
"479" "hsa-mir-520c-3p" 0 4
"480" "hsa-mir-520d-3p" 0 4
"481" "hsa-mir-520d-5p" 0 4
"482" "hsa-mir-520e" 0 4
"483" "hsa-mir-520f" 0 4
"484" "hsa-mir-520g" 0 4
"485" "hsa-mir-520h" 0 4
"486" "hsa-mir-521" 0 4
"487" "hsa-mir-522" 0 4
"488" "hsa-mir-523" 0 4
"489" "hsa-mir-524-3p" 0 4
"490" "hsa-mir-524-5p" 0 4
"491" "hsa-mir-525-3p" 0 4
"492" "hsa-mir-525-5p" 0 4
"493" "hsa-mir-526b" 0 4
"494" "hsa-mir-526b*" 0 4
"495" "hsa-mir-527" 0 4
"496" "hsa-mir-532-3p" 0 4
"497" "hsa-mir-532-5p" 1 4
"498" "hsa-mir-539" 0 4
"499" "hsa-mir-541" 0 4
"500" "hsa-mir-541*" 0 4
"501" "hsa-mir-542-3p" 0 4
"502" "hsa-mir-542-5p" 0 4
"503" "hsa-mir-543" 0 4
"504" "hsa-mir-544" 0 4
"505" "hsa-mir-545" 0 4
"506" "hsa-mir-545*" 0 4
"507" "hsa-mir-548a-3p" 0 4
"508" "hsa-mir-548a-5p" 0 4
"509" "hsa-mir-548b-3p" 0 4
"510" "hsa-mir-548b-5p" 0 4
"511" "hsa-mir-548c-3p" 0 4
"512" "hsa-mir-548c-5p" 1 4
"513" "hsa-mir-548d-3p" 0 4
"514" "hsa-mir-548d-5p" 1 4
"515" "hsa-mir-549" 0 4
"516" "hsa-mir-550" 1 4
"517" "hsa-mir-550*" 0 4
"518" "hsa-mir-551a" 0 4
"519" "hsa-mir-551b" 0 4
"520" "hsa-mir-551b*" 0 4
"521" "hsa-mir-552" 0 4
"522" "hsa-mir-553" 0 4
"523" "hsa-mir-554" 0 4
"524" "hsa-mir-555" 0 4
"525" "hsa-mir-556-3p" 0 4
"526" "hsa-mir-556-5p" 0 4
"527" "hsa-mir-557" 2 4
"528" "hsa-mir-558" 0 4
"529" "hsa-mir-559" 0 4
"530" "hsa-mir-561" 0 4
"531" "hsa-mir-562" 0 4
"532" "hsa-mir-563" 0 4
"533" "hsa-mir-564" 3 4
"534" "hsa-mir-566" 0 4
"535" "hsa-mir-567" 0 4
"536" "hsa-mir-568" 0 4
"537" "hsa-mir-569" 0 4
"538" "hsa-mir-570" 0 4
"539" "hsa-mir-571" 0 4
"540" "hsa-mir-572" 2 4
"541" "hsa-mir-573" 0 4
"542" "hsa-mir-574-3p" 3 4
"543" "hsa-mir-574-5p" 4 4
"544" "hsa-mir-575" 4 4
"545" "hsa-mir-576-3p" 0 4
"546" "hsa-mir-576-5p" 0 4
"547" "hsa-mir-577" 0 4
"548" "hsa-mir-578" 0 4
"549" "hsa-mir-579" 0 4
"550" "hsa-mir-580" 0 4
"551" "hsa-mir-581" 0 4
"552" "hsa-mir-582-3p" 0 4
"553" "hsa-mir-582-5p" 1 4
"554" "hsa-mir-583" 0 4
"555" "hsa-mir-584" 0 4
"556" "hsa-mir-585" 0 4
"557" "hsa-mir-586" 0 4
"558" "hsa-mir-587" 0 4
"559" "hsa-mir-588" 0 4
"560" "hsa-mir-589" 0 4
"561" "hsa-mir-589*" 0 4
"562" "hsa-mir-590-3p" 0 4
"563" "hsa-mir-590-5p" 1 4
"564" "hsa-mir-591" 0 4
"565" "hsa-mir-592" 0 4
"566" "hsa-mir-593" 0 4
"567" "hsa-mir-593*" 0 4
"568" "hsa-mir-595" 0 4
"569" "hsa-mir-596" 0 4
"570" "hsa-mir-597" 0 4
"571" "hsa-mir-598" 0 4
"572" "hsa-mir-599" 0 4
"573" "hsa-mir-600" 0 4
"574" "hsa-mir-601" 3 4
"575" "hsa-mir-602" 0 4
"576" "hsa-mir-603" 0 4
"577" "hsa-mir-604" 0 4
"578" "hsa-mir-605" 0 4
"579" "hsa-mir-606" 0 4
"580" "hsa-mir-607" 0 4
"581" "hsa-mir-608" 0 4
"582" "hsa-mir-609" 0 4
"583" "hsa-mir-610" 0 4
"584" "hsa-mir-611" 0 4
"585" "hsa-mir-612" 0 4
"586" "hsa-mir-613" 0 4
"587" "hsa-mir-614" 0 4
"588" "hsa-mir-615-3p" 0 4
"589" "hsa-mir-615-5p" 0 4
"590" "hsa-mir-616" 0 4
"591" "hsa-mir-616*" 0 4
"592" "hsa-mir-617" 0 4
"593" "hsa-mir-618" 0 4
"594" "hsa-mir-619" 0 4
"595" "hsa-mir-620" 0 4
"596" "hsa-mir-621" 0 4
"597" "hsa-mir-622" 1 4
"598" "hsa-mir-623" 1 4
"599" "hsa-mir-624" 0 4
"600" "hsa-mir-624*" 0 4
"601" "hsa-mir-625" 0 4
"602" "hsa-mir-625*" 0 4
"603" "hsa-mir-626" 0 4
"604" "hsa-mir-627" 0 4
"605" "hsa-mir-628-3p" 0 4
"606" "hsa-mir-628-5p" 0 4
"607" "hsa-mir-629" 0 4
"608" "hsa-mir-629*" 1 4
"609" "hsa-mir-630" 4 4
"610" "hsa-mir-631" 1 4
"611" "hsa-mir-632" 0 4
"612" "hsa-mir-633" 0 4
"613" "hsa-mir-634" 0 4
"614" "hsa-mir-635" 0 4
"615" "hsa-mir-636" 0 4
"616" "hsa-mir-637" 0 4
"617" "hsa-mir-638" 4 4
"618" "hsa-mir-639" 0 4
"619" "hsa-mir-640" 0 4
"620" "hsa-mir-641" 0 4
"621" "hsa-mir-642" 0 4
"622" "hsa-mir-643" 0 4
"623" "hsa-mir-644" 0 4
"624" "hsa-mir-645" 0 4
"625" "hsa-mir-646" 0 4
"626" "hsa-mir-647" 0 4
"627" "hsa-mir-648" 0 4
"628" "hsa-mir-649" 0 4
"629" "hsa-mir-650" 1 4
"630" "hsa-mir-651" 0 4
"631" "hsa-mir-652" 1 4
"632" "hsa-mir-653" 0 4
"633" "hsa-mir-654-3p" 0 4
"634" "hsa-mir-654-5p" 0 4
"635" "hsa-mir-655" 0 4
"636" "hsa-mir-656" 0 4
"637" "hsa-mir-657" 0 4
"638" "hsa-mir-658" 0 4
"639" "hsa-mir-659" 1 4
"640" "hsa-mir-660" 1 4
"641" "hsa-mir-661" 0 4
"642" "hsa-mir-662" 0 4
"643" "hsa-mir-663" 3 4
"644" "hsa-mir-665" 0 4
"645" "hsa-mir-668" 0 4
"646" "hsa-mir-671-3p" 0 4
"647" "hsa-mir-671-5p" 3 4
"648" "hsa-mir-675" 0 4
"649" "hsa-mir-7" 0 4
"650" "hsa-mir-7-1*" 0 4
"651" "hsa-mir-7-2*" 0 4
"652" "hsa-mir-708" 0 4
"653" "hsa-mir-708*" 0 4
"654" "hsa-mir-744" 0 4
"655" "hsa-mir-744*" 0 4
"656" "hsa-mir-758" 0 4
"657" "hsa-mir-760" 0 4
"658" "hsa-mir-765" 2 4
"659" "hsa-mir-766" 1 4
"660" "hsa-mir-767-3p" 0 4
"661" "hsa-mir-767-5p" 0 4
"662" "hsa-mir-768-3p" 4 4
"663" "hsa-mir-768-5p" 3 4
"664" "hsa-mir-769-3p" 0 4
"665" "hsa-mir-769-5p" 0 4
"666" "hsa-mir-770-5p" 1 4
"667" "hsa-mir-801" 3 4
"668" "hsa-mir-802" 0 4
"669" "hsa-mir-873" 0 4
"670" "hsa-mir-874" 3 4
"671" "hsa-mir-875-3p" 0 4
"672" "hsa-mir-875-5p" 0 4
"673" "hsa-mir-876-3p" 0 4
"674" "hsa-mir-876-5p" 0 4
"675" "hsa-mir-877" 1 4
"676" "hsa-mir-877*" 1 4
"677" "hsa-mir-885-3p" 0 4
"678" "hsa-mir-885-5p" 1 4
"679" "hsa-mir-886-3p" 3 4
"680" "hsa-mir-886-5p" 0 4
"681" "hsa-mir-887" 1 4
"682" "hsa-mir-888" 0 4
"683" "hsa-mir-888*" 0 4
"684" "hsa-mir-889" 0 4
"685" "hsa-mir-890" 0 4
"686" "hsa-mir-891a" 0 4
"687" "hsa-mir-891b" 0 4
"688" "hsa-mir-892a" 0 4
"689" "hsa-mir-892b" 2 4
"690" "hsa-mir-9" 0 4
"691" "hsa-mir-9*" 0 4
"692" "hsa-mir-920" 0 4
"693" "hsa-mir-921" 0 4
"694" "hsa-mir-922" 0 4
"695" "hsa-mir-923" 4 4
"696" "hsa-mir-924" 0 4
"697" "hsa-mir-92a" 4 4
"698" "hsa-mir-92a-1*" 0 4
"699" "hsa-mir-92a-2*" 0 4
"700" "hsa-mir-92b" 0 4
"701" "hsa-mir-92b*" 0 4
"702" "hsa-mir-93" 3 4
"703" "hsa-mir-93*" 0 4
"704" "hsa-mir-933" 0 4
"705" "hsa-mir-934" 0 4
"706" "hsa-mir-935" 0 4
"707" "hsa-mir-936" 0 4
"708" "hsa-mir-937" 0 4
"709" "hsa-mir-938" 0 4
"710" "hsa-mir-939" 4 4
"711" "hsa-mir-940" 4 4
"712" "hsa-mir-941" 0 4
"713" "hsa-mir-942" 0 4
"714" "hsa-mir-943" 0 4
"715" "hsa-mir-944" 0 4
"716" "hsa-mir-95" 0 4
"717" "hsa-mir-96" 0 4
"718" "hsa-mir-96*" 0 4
"719" "hsa-mir-98" 1 4
"720" "hsa-mir-99a" 3 4
"721" "hsa-mir-99a*" 0 4
"722" "hsa-mir-99b" 1 4
"723" "hsa-mir-99b*" 1 4
