"miR" "melanoma" "sample_num"
"350" "hsa-miR-6129" 1 57
"351" "hsa-miR-6880-3p" 0 57
"352" "hsa-miR-6732-3p" 3 57
"353" "hsa-miR-6124" 0 57
"354" "hsa-miR-6127" 0 57
"355" "hsa-miR-6125" 0 57
"356" "hsa-miR-548d-5p" 18 57
"357" "hsa-miR-6746-3p" 0 57
"358" "hsa-miR-6509-5p" 15 57
"359" "hsa-miR-6126" 0 57
"360" "hsa-miR-6833-5p" 0 57
"361" "hsa-miR-4773" 0 57
"362" "hsa-miR-4775" 34 57
"363" "hsa-miR-6759-5p" 0 57
"364" "hsa-miR-545-5p" 5 57
"365" "hsa-miR-623" 0 57
"366" "hsa-miR-622" 0 57
"367" "hsa-miR-620" 0 57
"368" "hsa-miR-2467-5p" 54 57
"369" "hsa-miR-516a-5p" 16 57
"370" "hsa-miR-6738-3p" 1 57
"371" "hsa-miR-181d-5p" 51 57
"372" "hsa-miR-454-3p" 57 57
"373" "hsa-miR-6831-3p" 0 57
"374" "hsa-miR-2355-3p" 14 57
"375" "hsa-miR-6132" 0 57
"376" "hsa-miR-6133" 0 57
"377" "hsa-miR-6134" 0 57
"378" "hsa-miR-4733-3p" 0 57
"379" "hsa-miR-6130" 2 57
"380" "hsa-miR-6131" 56 57
"381" "hsa-miR-1288-3p" 0 57
"382" "hsa-miR-125b-5p" 57 57
"383" "hsa-miR-6885-3p" 3 57
"384" "hsa-miR-3692-5p" 0 57
"385" "hsa-let-7a-5p" 57 57
"386" "hsa-miR-3200-5p" 1 57
"387" "hsa-miR-6800-3p" 0 57
"388" "hsa-miR-634" 0 57
"389" "hsa-miR-134-5p" 16 57
"390" "hsa-miR-633" 0 57
"391" "hsa-miR-6783-5p" 0 57
"392" "hsa-miR-636" 35 57
"393" "hsa-miR-635" 0 57
"394" "hsa-miR-638" 0 57
"395" "hsa-miR-937-3p" 36 57
"396" "hsa-miR-639" 0 57
"397" "hsa-miR-7854-3p" 1 57
"398" "hsa-miR-3614-5p" 8 57
"399" "hsa-miR-632" 0 57
"400" "hsa-miR-4714-5p" 0 57
"401" "hsa-miR-550a-5p" 57 57
"402" "hsa-miR-4794" 0 57
"403" "hsa-miR-6759-3p" 0 57
"404" "hsa-miR-6737-3p" 3 57
"405" "hsa-miR-4791" 25 57
"406" "hsa-miR-4792" 57 57
"407" "hsa-miR-212-3p" 47 57
"408" "hsa-miR-5584-3p" 0 57
"409" "hsa-let-7f-1-3p" 49 57
"410" "hsa-miR-423-5p" 57 57
"411" "hsa-miR-545-3p" 2 57
"412" "hsa-miR-6825-5p" 1 57
"413" "hsa-miR-497-3p" 0 57
"414" "hsa-miR-1908-5p" 36 57
"415" "hsa-miR-6783-3p" 7 57
"416" "hsa-miR-6889-3p" 0 57
"417" "hsa-miR-3200-3p" 34 57
"418" "hsa-miR-4665-3p" 0 57
"419" "hsa-miR-4733-5p" 0 57
"420" "hsa-miR-122-5p" 4 57
"421" "hsa-miR-500a-5p" 57 57
"422" "hsa-miR-449a" 22 57
"423" "hsa-miR-181d-3p" 1 57
"424" "hsa-miR-4493" 0 57
"425" "hsa-miR-4496" 0 57
"426" "hsa-miR-3126-5p" 6 57
"427" "hsa-miR-4497" 13 57
"428" "hsa-miR-561-3p" 14 57
"429" "hsa-miR-4498" 0 57
"430" "hsa-miR-4499" 0 57
"431" "hsa-miR-1305" 29 57
"432" "hsa-miR-1303" 49 57
"433" "hsa-miR-4490" 0 57
"434" "hsa-miR-4761-5p" 0 57
"435" "hsa-miR-1302" 1 57
"436" "hsa-miR-4491" 0 57
"437" "hsa-miR-532-5p" 57 57
"438" "hsa-miR-4492" 22 57
"439" "hsa-miR-7108-5p" 0 57
"440" "hsa-miR-5584-5p" 0 57
"441" "hsa-miR-520c-3p" 6 57
"442" "hsa-miR-6737-5p" 0 57
"443" "hsa-miR-494-5p" 0 57
"444" "hsa-miR-6882-5p" 6 57
"445" "hsa-miR-195-5p" 39 57
"446" "hsa-miR-876-3p" 11 57
"447" "hsa-miR-6882-3p" 0 57
"448" "hsa-miR-4632-5p" 0 57
"449" "hsa-miR-6825-3p" 0 57
"450" "hsa-miR-1908-3p" 25 57
"451" "hsa-miR-514b-3p" 31 57
"452" "hsa-miR-6877-3p" 0 57
"453" "hsa-miR-145-3p" 28 57
"454" "hsa-miR-17-5p" 57 57
"455" "hsa-miR-6889-5p" 0 57
"456" "hsa-miR-122-3p" 0 57
"457" "hsa-miR-548d-3p" 2 57
"458" "hsa-miR-4786-3p" 0 57
"459" "hsa-miR-6732-5p" 0 57
"460" "hsa-miR-7844-5p" 0 57
"461" "hsa-miR-1324" 0 57
"462" "hsa-miR-769-3p" 43 57
"463" "hsa-miR-1323" 7 57
"464" "hsa-miR-1322" 2 57
"465" "hsa-miR-4761-3p" 3 57
"466" "hsa-miR-205-3p" 1 57
"467" "hsa-miR-532-3p" 54 57
"468" "hsa-miR-2276-3p" 33 57
"469" "hsa-miR-1827" 1 57
"470" "hsa-miR-1825" 0 57
"471" "hsa-miR-6833-3p" 0 57
"472" "hsa-miR-6746-5p" 0 57
"473" "hsa-miR-7108-3p" 0 57
"474" "hsa-miR-876-5p" 3 57
"475" "hsa-miR-6719-3p" 0 57
"476" "hsa-miR-6509-3p" 0 57
"477" "hsa-miR-6757-3p" 0 57
"478" "hsa-miR-1224-3p" 0 57
"479" "hsa-miR-1178-3p" 0 57
"480" "hsa-miR-26b-3p" 45 57
"481" "hsa-miR-7641" 57 57
"482" "hsa-miR-145-5p" 24 57
"483" "hsa-miR-17-3p" 57 57
"484" "hsa-miR-183-3p" 20 57
"485" "hsa-miR-5089-3p" 0 57
"486" "hsa-miR-2116-3p" 37 57
"487" "hsa-miR-381-5p" 0 57
"488" "hsa-miR-6803-5p" 0 57
"489" "hsa-miR-675-5p" 12 57
"490" "hsa-miR-767-5p" 48 57
"491" "hsa-miR-3150a-3p" 1 57
"492" "hsa-miR-6807-5p" 0 57
"493" "hsa-miR-579-5p" 8 57
"494" "hsa-miR-450a-5p" 56 57
"495" "hsa-miR-3065-3p" 39 57
"496" "hsa-miR-4705" 0 57
"497" "hsa-miR-4706" 7 57
"498" "hsa-miR-520f-5p" 3 57
"499" "hsa-miR-23c" 0 57
"500" "hsa-miR-4711-5p" 0 57
"501" "hsa-miR-642a-3p" 6 57
"502" "hsa-miR-6818-3p" 0 57
"503" "hsa-miR-199a-5p" 21 57
"504" "hsa-miR-6878-5p" 0 57
"505" "hsa-miR-181a-2-3p" 57 57
"506" "hsa-miR-6769b-5p" 0 57
"507" "hsa-miR-3065-5p" 37 57
"508" "hsa-miR-4740-5p" 0 57
"509" "hsa-miR-6822-5p" 0 57
"510" "hsa-miR-3074-3p" 3 57
"511" "hsa-miR-579-3p" 0 57
"512" "hsa-miR-551b-3p" 26 57
"513" "hsa-miR-767-3p" 31 57
"514" "hsa-miR-34b-5p" 35 57
"515" "hsa-miR-513a-3p" 6 57
"516" "hsa-miR-2276-5p" 0 57
"517" "hsa-miR-769-5p" 57 57
"518" "hsa-miR-885-5p" 1 57
"519" "hsa-miR-135b-5p" 55 57
"520" "hsa-miR-3680-5p" 0 57
"521" "hsa-miR-6514-5p" 3 57
"522" "hsa-miR-2116-5p" 2 57
"523" "hsa-miR-183-5p" 57 57
"524" "hsa-miR-202-3p" 0 57
"525" "hsa-miR-26b-5p" 57 57
"526" "hsa-miR-381-3p" 22 57
"527" "hsa-miR-6772-3p" 21 57
"528" "hsa-miR-4742-5p" 6 57
"529" "hsa-miR-423-3p" 57 57
"530" "hsa-miR-6716-3p" 41 57
"531" "hsa-miR-497-5p" 33 57
"532" "hsa-miR-146a-5p" 57 57
"533" "hsa-miR-4721" 0 57
"534" "hsa-miR-4711-3p" 0 57
"535" "hsa-miR-6750-3p" 1 57
"536" "hsa-miR-552-3p" 0 57
"537" "hsa-miR-642a-5p" 3 57
"538" "hsa-miR-4729" 0 57
"539" "hsa-miR-500a-3p" 57 57
"540" "hsa-miR-511-3p" 0 57
"541" "hsa-miR-6769b-3p" 11 57
"542" "hsa-miR-4524a-3p" 1 57
"543" "hsa-miR-3074-5p" 21 57
"544" "hsa-miR-6750-5p" 0 57
"545" "hsa-miR-6822-3p" 0 57
"546" "hsa-miR-3607-3p" 34 57
"547" "hsa-miR-517c-3p" 5 57
"548" "hsa-miR-4740-3p" 0 57
"549" "hsa-miR-885-3p" 1 57
"550" "hsa-miR-34b-3p" 27 57
"551" "hsa-miR-30a-3p" 57 57
"552" "hsa-miR-561-5p" 56 57
"553" "hsa-miR-6772-5p" 0 57
"554" "hsa-miR-4710" 0 57
"555" "hsa-miR-135b-3p" 47 57
"556" "hsa-miR-6816-3p" 0 57
"557" "hsa-miR-4719" 0 57
"558" "hsa-miR-6800-5p" 0 57
"559" "hsa-miR-4742-3p" 8 57
"560" "hsa-miR-4741" 30 57
"561" "hsa-miR-202-5p" 1 57
"562" "hsa-miR-519d-3p" 5 57
"563" "hsa-miR-25-5p" 56 57
"564" "hsa-miR-641" 55 57
"565" "hsa-miR-511-5p" 0 57
"566" "hsa-miR-597-5p" 0 57
"567" "hsa-miR-643" 0 57
"568" "hsa-miR-6775-5p" 0 57
"569" "hsa-miR-6821-3p" 0 57
"570" "hsa-miR-4744" 0 57
"571" "hsa-miR-649" 0 57
"572" "hsa-miR-519c-3p" 6 57
"573" "hsa-miR-2467-3p" 8 57
"574" "hsa-miR-4748" 0 57
"575" "hsa-miR-146a-3p" 50 57
"576" "hsa-miR-297" 0 57
"577" "hsa-miR-4730" 0 57
"578" "hsa-miR-3607-5p" 20 57
"579" "hsa-miR-4640-5p" 1 57
"580" "hsa-miR-6837-3p" 2 57
"581" "hsa-miR-6165" 0 57
"582" "hsa-miR-16-1-3p" 13 57
"583" "hsa-miR-223-3p" 1 57
"584" "hsa-miR-126-3p" 54 57
"585" "hsa-miR-3614-3p" 0 57
"586" "hsa-miR-6888-3p" 1 57
"587" "hsa-miR-650" 0 57
"588" "hsa-miR-6865-3p" 0 57
"589" "hsa-miR-4445-3p" 0 57
"590" "hsa-miR-4734" 0 57
"591" "hsa-miR-664a-3p" 57 57
"592" "hsa-miR-548as-3p" 0 57
"593" "hsa-miR-937-5p" 1 57
"594" "hsa-miR-657" 0 57
"595" "hsa-miR-4739" 0 57
"596" "hsa-miR-103a-2-5p" 38 57
"597" "hsa-miR-658" 0 57
"598" "hsa-miR-134-3p" 2 57
"599" "hsa-miR-4737" 0 57
"600" "hsa-miR-889-5p" 0 57
"601" "hsa-miR-4736" 0 57
"602" "hsa-miR-30a-5p" 57 57
"603" "hsa-miR-675-3p" 5 57
"604" "hsa-miR-1224-5p" 1 57
"605" "hsa-miR-6757-5p" 2 57
"606" "hsa-miR-519d-5p" 5 57
"607" "hsa-miR-597-3p" 0 57
"608" "hsa-miR-6775-3p" 28 57
"609" "hsa-miR-6818-5p" 0 57
"610" "hsa-miR-6821-5p" 0 57
"611" "hsa-miR-661" 0 57
"612" "hsa-miR-6867-5p" 0 57
"613" "hsa-miR-665" 7 57
"614" "hsa-miR-25-3p" 57 57
"615" "hsa-miR-4765" 0 57
"616" "hsa-miR-6807-3p" 4 57
"617" "hsa-miR-4767" 7 57
"618" "hsa-miR-4752" 0 57
"619" "hsa-miR-4640-3p" 6 57
"620" "hsa-miR-6878-3p" 0 57
"621" "hsa-miR-4751" 0 57
"622" "hsa-miR-223-5p" 0 57
