"pancreatic.cancer" "pancreatic.cancer" "num_rep" "sample_num"
"532" "hsa-miR-509-3p" 3 1 8
"533" "hsa-miR-510-5p" 0 1 8
"534" "hsa-miR-510-3p" 0 1 8
"535" "hsa-miR-514a-5p" 1 1 8
"536" "hsa-miR-514a-3p" 6 1 8
"537" "hsa-miR-532-5p" 8 1 8
"538" "hsa-miR-532-3p" 8 1 8
"539" "hsa-miR-455-5p" 8 1 8
"540" "hsa-miR-455-3p" 6 1 8
"541" "hsa-miR-539-5p" 1 1 8
"542" "hsa-miR-539-3p" 0 1 8
"543" "hsa-miR-544a" 0 1 8
"544" "hsa-miR-545-5p" 0 1 8
"545" "hsa-miR-545-3p" 0 1 8
"546" "hsa-miR-376a-2-5p" 0 1 8
"547" "hsa-miR-487b-5p" 0 1 8
"548" "hsa-miR-487b-3p" 0 1 8
"549" "hsa-miR-551a" 4 1 8
"550" "hsa-miR-552-5p" 0 1 8
"551" "hsa-miR-552-3p" 3 1 8
"552" "hsa-miR-553" 0 1 8
"553" "hsa-miR-554" 0 1 8
"554" "hsa-miR-92b-5p" 8 1 8
"555" "hsa-miR-92b-3p" 8 1 8
"556" "hsa-miR-555" 0 1 8
"557" "hsa-miR-556-5p" 3 1 8
"558" "hsa-miR-556-3p" 1 1 8
"559" "hsa-miR-557" 0 1 8
"560" "hsa-miR-558" 0 1 8
"561" "hsa-miR-559" 2 1 8
"562" "hsa-miR-561-5p" 3 1 8
"563" "hsa-miR-561-3p" 0 1 8
"564" "hsa-miR-562" 0 1 8
"565" "hsa-miR-563" 0 1 8
"566" "hsa-miR-564" 0 1 8
"567" "hsa-miR-566" 0 1 8
"568" "hsa-miR-567" 0 1 8
"569" "hsa-miR-568" 0 1 8
"570" "hsa-miR-551b-5p" 0 1 8
"571" "hsa-miR-551b-3p" 0 1 8
"572" "hsa-miR-569" 0 1 8
"573" "hsa-miR-570-5p" 0 1 8
"574" "hsa-miR-570-3p" 0 1 8
"575" "hsa-miR-571" 0 1 8
"576" "hsa-miR-572" 1 1 8
"577" "hsa-miR-573" 5 1 8
"578" "hsa-miR-574-5p" 8 1 8
"579" "hsa-miR-574-3p" 8 1 8
"580" "hsa-miR-575" 0 1 8
"581" "hsa-miR-576-5p" 8 1 8
"582" "hsa-miR-576-3p" 8 1 8
"583" "hsa-miR-577" 4 1 8
"584" "hsa-miR-578" 1 1 8
"585" "hsa-miR-579-5p" 5 1 8
"586" "hsa-miR-579-3p" 0 1 8
"587" "hsa-miR-580-5p" 0 1 8
"588" "hsa-miR-580-3p" 1 1 8
"589" "hsa-miR-581" 4 1 8
"590" "hsa-miR-582-5p" 2 1 8
"591" "hsa-miR-582-3p" 8 1 8
"592" "hsa-miR-583" 0 1 8
"593" "hsa-miR-584-5p" 8 1 8
"594" "hsa-miR-584-3p" 3 1 8
"595" "hsa-miR-585-5p" 0 1 8
"596" "hsa-miR-585-3p" 0 1 8
